Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 Population)",2020 Population
025702008,Mangandingay (Pob.),Bgy,,,,R," 3,775 "
025702009,San Marcos,Bgy,,,,R," 2,869 "
025702010,Villamor,Bgy,,,,R," 2,632 "
025702011,Zamora,Bgy,,,,R," 3,396 "
025702012,Villarose,Bgy,,,,R, 800 
025702013,Villa Peña,Bgy,Capellangan,,,R, 690 
025702014,Dingasan,Bgy,,,,R," 1,573 "
025702015,Tucod,Bgy,,,,R," 1,932 "
025702016,Gomez,Bgy,,,,R, 619 
025702017,Santo Domingo,Bgy,,,,R, 888 
025703000,Diffun,Mun,,,2nd,," 56,102 "
025703001,Andres Bonifacio (Pob.),Bgy,,,,U," 4,037 "
025703002,Aurora East (Pob.),Bgy,,,,U," 1,581 "
025703003,Aurora West (Pob.),Bgy,,,,R," 2,908 "
025703004,Baguio Village,Bgy,,,,R, 870 
025703005,Balagbag,Bgy,,,,R," 1,796 "
025703006,Bannawag,Bgy,,,,R," 2,380 "
025703007,Cajel,Bgy,,,,R," 2,082 "
025703008,Campamento,Bgy,,,,R," 1,573 "
025703009,Diego Silang,Bgy,,,,R," 1,938 "
025703010,"Don Mariano Perez, Sr.",Bgy,,,,R, 804 
025703011,Doña Imelda,Bgy,,,,R, 733 
025703012,Dumanisi,Bgy,,,,R," 2,084 "
025703013,Gabriela Silang,Bgy,,,,R," 2,108 "
025703014,Gulac,Bgy,,,,R," 1,820 "
025703015,Guribang,Bgy,,,,R," 1,485 "
025703016,Ifugao Village,Bgy,,,,R," 1,514 "
025703017,Isidro Paredes,Bgy,,,,R," 2,108 "
025703018,Rizal (Pob.),Bgy,,,,R," 4,293 "
025703019,Liwayway,Bgy,,,,R," 2,953 "
025703020,Luttuad,Bgy,,,,U," 2,316 "
025703021,Magsaysay,Bgy,,,,R, 890 
025703022,Makate,Bgy,,,,R, 694 
025703023,Maria Clara,Bgy,,,,R," 1,808 "
025703024,Rafael Palma,Bgy,Don Sergio Osmeña,,,R, 793 
025703025,Ricarte Norte,Bgy,,,,R," 1,684 "
025703026,Ricarte Sur,Bgy,,,,R, 674 
025703027,San Antonio,Bgy,,,,R," 1,365 "
025703028,San Isidro,Bgy,,,,R," 2,030 "
025703029,San Pascual,Bgy,,,,R, 687 
025703030,Villa Pascua,Bgy,,,,R," 1,653 "
025703031,Aklan Village,Bgy,,,,R," 1,014 "
025703032,Gregorio Pimentel,Bgy,,,,R, 839 
025703033,Don Faustino Pagaduan,Bgy,,,,R, 588 
025704000,Maddela,Mun,,,1st,," 40,943 "
025704001,Abbag,Bgy,,,,R, 942 
025704003,Balligui,Bgy,,,,R," 2,434 "
025704004,Divisoria Sur,Bgy,Bisangal,,,R," 1,131 "
025704005,Buenavista,Bgy,,,,R," 1,436 "
025704006,Cabaruan,Bgy,,,,R," 1,911 "
025704007,Cabua-an,Bgy,,,,R, 798 
025704008,Cofcaville,Bgy,,,,R, 773 
025704009,Diduyon,Bgy,,,,R, 926 
025704010,Dipintin,Bgy,,,,R," 3,112 "
025704011,Divisoria Norte,Bgy,,,,R, 654 
025704012,Dumabato Norte,Bgy,,,,R," 1,435 "
025704013,Dumabato Sur,Bgy,,,,R," 1,461 "
025704014,Lusod,Bgy,,,,R," 2,155 "
025704015,Manglad,Bgy,,,,R, 681 
025704016,Pedlisan,Bgy,,,,R, 808 
025704017,Poblacion Norte,Bgy,,,,U," 3,007 "
025704019,San Bernabe,Bgy,,,,R," 1,045 "
025704021,San Dionisio I,Bgy,,,,R, 634 
025704023,San Martin,Bgy,,,,R," 1,082 "
025704024,San Pedro,Bgy,,,,R," 1,231 "
025704025,San Salvador,Bgy,,,,R, 502 
025704026,Santo Niño,Bgy,,,,R," 1,118 "
025704027,Santo Tomas,Bgy,,,,R, 599 
025704028,Villa Gracia,Bgy,,,,R, 904 
025704029,Villa Hermosa Sur,Bgy,,,,R," 2,405 "
025704030,Villa Hermosa Norte,Bgy,,,,R," 1,732 "
025704032,Ysmael,Bgy,,,,R, 640 
025704034,Villa Agullana,Bgy,,,,R, 539 
025704036,Poblacion Sur,Bgy,,,,R," 2,135 "
025704037,Villa Jose V Ylanan,Bgy,,,,R, 527 
025704038,Jose Ancheta,Bgy,,,,R," 1,207 "
025704039,Santa Maria,Bgy,,,,R, 979 
025705000,Saguday,Mun,,,5th,," 17,137 "
025705001,Dibul,Bgy,,,,R," 1,338 "
025705002,La Paz,Bgy,,,,R," 3,299 "
025705003,Magsaysay (Pob.),Bgy,,,,U," 2,978 "
025705004,Rizal (Pob.),Bgy,,,,R," 3,336 "
025705005,Salvacion,Bgy,,,,R," 1,578 "
025705006,Santo Tomas,Bgy,,,,R," 1,469 "
025705007,Tres Reyes,Bgy,,,,R," 1,026 "
025705008,Cardenas,Bgy,,,,R," 1,060 "
025705009,Gamis,Bgy,,,,R," 1,053 "
025706000,Nagtipunan,Mun,,,1st,," 25,399 "
025706001,Anak,Bgy,,,,R," 1,674 "
025706002,Dipantan,Bgy,,,,R," 1,320 "
025706003,Dissimungal,Bgy,,,,R," 2,343 "
025706004,Guino,Bgy,Giayan,,,R," 1,766 "
025706005,La Conwap,Bgy,Guingin,,,R, 499 
025706006,Landingan,Bgy,,,,R," 1,952 "
025706007,Mataddi,Bgy,,,,R, 628 
025706008,Matmad,Bgy,,,,R, 711 
025706009,Old Gumiad,Bgy,,,,R," 1,087 "
025706010,Ponggo,Bgy,,,,R," 3,035 "
025706011,San Dionisio II,Bgy,,,,R," 4,037 "
025706012,San Pugo,Bgy,,,,R, 568 
025706013,San Ramos,Bgy,,,,R, 817 
025706014,Sangbay,Bgy,,,,R," 2,093 "
025706015,Wasid,Bgy,,,,R," 1,444 "
025706016,Asaklat,Bgy,,,,R," 1,425 "
030000000,Region III (Central Luzon),Reg,,,,," 12,422,172 "
030800000,Bataan,Prov,,,1st,," 853,373 "
030801000,Abucay,Mun,,,3rd,," 42,984 "
030801001,Bangkal,Bgy,,,,R, 843 
030801002,Calaylayan (Pob.),Bgy,,,,U," 5,627 "
030801003,Capitangan,Bgy,,,,U," 7,280 "
030801004,Gabon,Bgy,,,,U," 5,707 "
030801006,Laon (Pob.),Bgy,,,,R," 2,415 "
030801007,Mabatang,Bgy,,,,U," 9,650 "
030801008,Omboy,Bgy,,,,R," 3,387 "
030801010,Salian,Bgy,,,,R," 3,832 "
030801011,Wawa (Pob.),Bgy,,,,U," 4,243 "
030802000,Bagac,Mun,,,3rd,," 31,365 "
030802001,Bagumbayan (Pob.),Bgy,,,,U," 2,135 "
030802002,Banawang,Bgy,,,,R," 3,460 "
030802003,Binuangan,Bgy,,,,R, 752 
030802004,Binukawan,Bgy,,,,R," 2,814 "
030802006,Ibaba,Bgy,,,,U," 1,920 "
030802007,Ibis,Bgy,,,,U," 1,884 "
030802008,Pag-asa,Bgy,Wawa-Sibacan,,,U," 3,729 "
030802009,Parang,Bgy,,,,R," 3,480 "
030802010,Paysawan,Bgy,,,,R, 862 
030802012,Quinawan,Bgy,,,,R, 710 
030802013,San Antonio,Bgy,,,,R," 1,511 "
030802014,Saysain,Bgy,,,,R," 3,468 "
030802015,Tabing-Ilog (Pob.),Bgy,,,,U," 1,321 "
030802016,Atilano L. Ricardo,Bgy,,,,R," 3,319 "
030803000,City of Balanga (Capital),City,,CC,4th,," 104,173 "
030803001,Bagumbayan,Bgy,,,,R," 2,067 "
030803003,Cabog-Cabog,Bgy,,,,R," 2,211 "
030803004,Munting Batangas,Bgy,Cadre,,,R," 3,320 "
030803005,Cataning,Bgy,,,,U," 9,775 "
030803006,Central,Bgy,,,,U," 7,083 "
030803008,Cupang Proper,Bgy,,,,U," 11,581 "
030803009,Cupang West,Bgy,,,,R," 2,031 "
030803010,Dangcol,Bgy,Bernabe,,,R," 1,776 "
030803011,Ibayo,Bgy,,,,U," 2,277 "
030803012,Malabia,Bgy,,,,R, 725 
030803013,Poblacion,Bgy,,,,U, 736 
030803014,Pto. Rivas Ibaba,Bgy,,,,R," 4,287 "
030803015,Pto. Rivas Itaas,Bgy,,,,R," 1,822 "
030803016,San Jose,Bgy,,,,U," 6,718 "
030803017,Sibacan,Bgy,,,,R," 2,766 "
030803018,Camacho,Bgy,,,,R," 3,844 "
030803019,Talisay,Bgy,,,,R," 2,181 "
030803020,Tanato,Bgy,,,,R, 914 
030803021,Tenejero,Bgy,,,,U," 9,227 "
030803022,Tortugas,Bgy,,,,R," 2,852 "
030803023,Tuyo,Bgy,,,,U," 12,057 "
030803024,Bagong Silang,Bgy,,,,U," 6,388 "
030803025,Cupang North,Bgy,,,,R," 2,543 "
030803026,Doña Francisca,Bgy,,,,U," 2,322 "
030803027,Lote,Bgy,,,,R," 2,670 "
030804000,Dinalupihan,Mun,,,1st,," 118,209 "
030804002,Bangal,Bgy,,,,R," 5,053 "
030804003,Bonifacio (Pob.),Bgy,,,,R, 366 
030804006,Burgos (Pob.),Bgy,,,,R, 331 
030804007,Colo,Bgy,,,,R," 3,651 "
030804008,Daang Bago,Bgy,,,,R," 3,247 "
030804009,Dalao,Bgy,,,,R," 1,830 "
030804010,Del Pilar (Pob.),Bgy,,,,R, 265 
030804011,Gen. Luna (Pob.),Bgy,,,,R, 528 
030804012,Gomez (Pob.),Bgy,,,,R, 307 
030804013,Happy Valley,Bgy,,,,R," 1,913 "
030804014,Kataasan,Bgy,,,,R," 3,082 "
030804015,Layac,Bgy,,,,R," 1,363 "
030804016,Luacan,Bgy,,,,U," 5,953 "
030804017,Mabini Proper (Pob.),Bgy,,,,R, 321 
030804018,Mabini Ext. (Pob.),Bgy,,,,U, 726 
030804019,Magsaysay,Bgy,,,,R," 2,103 "
030804020,Naparing,Bgy,,,,R," 3,105 "
030804021,New San Jose,Bgy,,,,U," 6,646 "
030804022,Old San Jose,Bgy,,,,R," 2,485 "
030804023,Padre Dandan (Pob.),Bgy,,,,R, 189 
030804024,Pag-asa,Bgy,,,,R," 2,466 "
030804025,Pagalanggang,Bgy,,,,R," 4,214 "
030804026,Pinulot,Bgy,,,,R," 4,555 "
030804027,Pita,Bgy,,,,R," 4,080 "
030804029,Rizal (Pob.),Bgy,,,,R, 211 
030804030,Roosevelt,Bgy,,,,U," 11,011 "
030804031,Roxas (Pob.),Bgy,,,,R, 272 
030804032,Saguing,Bgy,,,,R," 5,192 "
030804033,San Benito,Bgy,,,,R," 2,953 "
030804034,San Isidro (Pob.),Bgy,,,,R, 899 
030804035,San Pablo,Bgy,Bulate,,,U," 7,735 "
030804036,San Ramon,Bgy,,,,U," 3,784 "
030804037,San Simon,Bgy,,,,R," 1,890 "
030804038,Santo Niño,Bgy,,,,R," 3,478 "
030804039,Sapang Balas,Bgy,,,,R," 1,543 "
030804040,Santa Isabel,Bgy,Tabacan,,,U," 2,699 "
030804041,Torres Bugauen (Pob.),Bgy,,,,R, 858 
030804042,Tucop,Bgy,,,,R," 4,580 "
030804043,Zamora (Pob.),Bgy,,,,R, 372 
030804044,Aquino,Bgy,,,,R, 114 
030804045,Bayan-bayanan,Bgy,,,,R, 953 
030804046,Maligaya,Bgy,,,,R," 1,953 "
030804047,Payangan,Bgy,,,,R, 888 
030804048,Pentor,Bgy,,,,R," 3,283 "
030804049,Tubo-tubo,Bgy,,,,R, 856 
030804050,"Jose C. Payumo, Jr.",Bgy,,,,R," 3,906 "
030805000,Hermosa,Mun,,,1st,," 77,443 "
030805001,A. Rivera (Pob.),Bgy,,,,R," 1,705 "
030805002,Almacen,Bgy,,,,R," 2,176 "
030805003,Bacong,Bgy,,,,R," 3,117 "
030805004,Balsic,Bgy,,,,U," 7,840 "
030805005,Bamban,Bgy,,,,R," 2,613 "
030805006,Burgos-Soliman (Pob.),Bgy,,,,R, 437 
030805007,Cataning (Pob.),Bgy,,,,R," 3,000 "
030805008,Culis,Bgy,,,,U," 10,322 "
030805009,Daungan (Pob.),Bgy,,,,R, 943 
030805010,Mabiga,Bgy,,,,R," 3,287 "
030805011,Mabuco,Bgy,,,,R," 5,496 "
030805012,Maite,Bgy,,,,R," 2,025 "
030805013,Mambog - Mandama,Bgy,,,,R," 3,699 "
030805014,Palihan,Bgy,,,,U," 6,556 "
030805015,Pandatung,Bgy,,,,R," 2,421 "
030805016,Pulo,Bgy,,,,R, 631 
030805017,Saba,Bgy,,,,R," 2,151 "
030805019,San Pedro (Pob.),Bgy,,,,R," 2,324 "
030805020,Santo Cristo (Pob.),Bgy,,,,R, 896 
030805021,Sumalo,Bgy,,,,R," 2,640 "
030805023,Tipo,Bgy,,,,U," 6,874 "
030805024,Judge Roman Cruz Sr.,Bgy,Mandama,,,R," 4,544 "
030805025,Sacrifice Valley,Bgy,,,,R," 1,746 "
030806000,Limay,Mun,,,1st,," 78,272 "
030806001,Alangan,Bgy,,,,U," 6,869 "
030806002,Kitang I,Bgy,,,,U," 2,089 "
030806003,Kitang 2 & Luz,Bgy,,,,U," 6,141 "
030806004,Lamao,Bgy,,,,U," 19,946 "
030806006,Landing,Bgy,,,,R," 3,191 "
030806007,Poblacion,Bgy,,,,U, 653 
030806008,Reformista,Bgy,,,,R," 5,169 "
030806009,Townsite,Bgy,,,,U," 5,623 "
030806012,Wawa,Bgy,,,,R, 544 
030806013,Duale,Bgy,,,,U," 8,905 "
030806014,San Francisco de Asis,Bgy,,,,U," 6,290 "
030806015,St. Francis II,Bgy,,,,U," 12,852 "
030807000,Mariveles,Mun,,,1st,," 149,879 "
030807001,Alas-asin,Bgy,,,,U," 18,868 "
030807002,Alion,Bgy,,,,R," 3,389 "
030807003,Batangas II,Bgy,,,,U," 5,811 "
030807004,Cabcaben,Bgy,,,,U," 7,665 "
030807005,Lucanin,Bgy,,,,U," 7,189 "
030807006,Baseco Country,Bgy,Nassco,,,U," 4,781 "
030807008,Poblacion,Bgy,,,,U," 8,458 "
030807009,San Carlos,Bgy,,,,U," 1,481 "
030807010,San Isidro,Bgy,,,,U," 6,515 "
030807011,Sisiman,Bgy,,,,U," 7,267 "
030807013,Balon-Anito,Bgy,,,,U," 15,820 "
030807014,Biaan,Bgy,,,,R," 2,663 "
030807015,Camaya,Bgy,,,,U," 18,803 "
030807016,Ipag,Bgy,,,,U," 11,503 "
030807017,Malaya,Bgy,,,,U," 4,939 "
030807018,Maligaya,Bgy,,,,U," 4,442 "
030807019,Mt. View,Bgy,,,,U," 13,082 "
030807020,Townsite,Bgy,,,,U," 7,203 "
030808000,Morong,Mun,,,3rd,," 35,394 "
030808001,Binaritan,Bgy,,,,U," 7,122 "
030808002,Mabayo,Bgy,,,,R," 6,156 "
030808003,Nagbalayong,Bgy,,,,U," 6,756 "
030808004,Poblacion,Bgy,,,,U," 7,329 "
030808005,Sabang,Bgy,,,,U," 8,031 "
030809000,Orani,Mun,,,3rd,," 70,342 "
030809001,Bagong Paraiso (Pob.),Bgy,,,,R," 3,119 "
030809002,Balut (Pob.),Bgy,,,,U," 1,263 "
030809003,Bayan (Pob.),Bgy,,,,U," 6,378 "
030809004,Calero (Pob.),Bgy,,,,R," 1,402 "
030809005,Paking-Carbonero (Pob.),Bgy,,,,R, 927 
030809006,Centro II (Pob.),Bgy,,,,R, 434 
030809007,Dona,Bgy,,,,U," 1,788 "
030809008,Kaparangan,Bgy,,,,R," 2,975 "
030809009,Masantol,Bgy,,,,U, 530 
030809010,Mulawin,Bgy,,,,U," 4,746 "
030809011,Pag-asa,Bgy,,,,R," 2,802 "
030809012,Palihan (Pob.),Bgy,,,,U," 2,521 "
030809013,Pantalan Bago (Pob.),Bgy,,,,U," 2,269 "
030809014,Pantalan Luma (Pob.),Bgy,,,,U," 5,612 "
030809015,Parang Parang (Pob.),Bgy,,,,R," 1,305 "
030809016,Centro I (Pob.),Bgy,,,,U, 491 
030809017,Sibul,Bgy,,,,R," 1,366 "
030809018,Silahis,Bgy,,,,R, 583 
030809019,Tala,Bgy,,,,R," 1,632 "
030809020,Talimundoc,Bgy,,,,R," 2,511 "
030809021,Tapulao,Bgy,,,,U," 4,928 "
030809022,Tenejero (Pob.),Bgy,,,,R," 1,672 "
030809023,Tugatog,Bgy,,,,U," 8,138 "
030809024,Wawa (Pob.),Bgy,,,,R, 698 
030809025,Apollo,Bgy,,,,R," 1,865 "
030809026,Kabalutan,Bgy,,,,R," 3,019 "
030809027,Maria Fe,Bgy,,,,R," 2,192 "
030809028,Puksuan,Bgy,,,,R, 625 
030809029,Tagumpay,Bgy,,,,R," 2,551 "
030810000,Orion,Mun,,,2nd,," 60,771 "
030810001,Arellano (Pob.),Bgy,,,,U, 516 
030810002,Bagumbayan (Pob.),Bgy,,,,R," 1,146 "
030810003,Balagtas (Pob.),Bgy,,,,U," 1,995 "
030810004,Balut (Pob.),Bgy,,,,R," 1,399 "
030810007,Bantan,Bgy,,,,R," 1,387 "
030810008,Bilolo,Bgy,,,,U," 7,829 "
030810009,Calungusan,Bgy,,,,U," 1,807 "
030810010,Camachile,Bgy,,,,R," 1,707 "
030810011,Daang Bago (Pob.),Bgy,,,,R," 1,064 "
030810012,Daang Bilolo (Pob.),Bgy,,,,U," 3,069 "
030810013,Daang Pare,Bgy,,,,U," 8,056 "
030810014,General Lim,Bgy,Kaput,,,R," 5,343 "
030810016,Kapunitan,Bgy,,,,U," 4,137 "
030810017,Lati (Pob.),Bgy,,,,R," 1,289 "
030810018,Lusungan (Pob.),Bgy,,,,R," 1,456 "
030810020,Puting Buhangin,Bgy,,,,R," 3,053 "
030810021,Sabatan,Bgy,,,,U," 3,763 "
030810022,San Vicente (Pob.),Bgy,,,,U," 1,332 "
030810024,Santo Domingo,Bgy,,,,U," 4,394 "
030810027,Villa Angeles (Pob.),Bgy,,,,U," 1,271 "
030810028,Wakas (Pob.),Bgy,,,,U, 977 
030810029,Wawa (Pob.),Bgy,,,,R," 1,807 "
030810030,Santa Elena,Bgy,,,,R," 1,974 "
030811000,Pilar,Mun,,,3rd,," 46,239 "
030811001,Ala-uli,Bgy,,,,U," 5,414 "
030811003,Bagumbayan,Bgy,,,,R," 1,466 "
030811005,Balut I,Bgy,,,,R," 1,315 "
030811006,Balut II,Bgy,,,,R," 1,302 "
030811007,Bantan Munti,Bgy,,,,R, 484 
030811009,Burgos,Bgy,,,,R," 1,188 "
030811011,Del Rosario (Pob.),Bgy,,,,R," 2,647 "
030811012,Diwa,Bgy,,,,R," 2,816 "
030811013,Landing,Bgy,,,,R," 1,316 "
030811014,Liyang,Bgy,,,,R," 2,728 "
030811016,Nagwaling,Bgy,,,,R," 3,571 "
030811019,Panilao,Bgy,,,,U," 5,857 "
030811020,Pantingan,Bgy,,,,R," 1,482 "
030811021,Poblacion,Bgy,,,,R," 1,311 "
030811022,Rizal (Pob.),Bgy,,,,R," 1,114 "
030811023,Santa Rosa,Bgy,,,,U," 7,179 "
030811025,Wakas North,Bgy,,,,R," 1,299 "
030811026,Wakas South,Bgy,,,,R," 1,461 "
030811027,Wawa,Bgy,,,,R," 2,289 "
030812000,Samal,Mun,,,4th,," 38,302 "
030812001,East Calaguiman (Pob.),Bgy,,,,R," 2,789 "
030812002,East Daang Bago (Pob.),Bgy,,,,R," 1,314 "
030812003,Ibaba (Pob.),Bgy,,,,R," 3,230 "
030812004,Imelda,Bgy,,,,U," 3,058 "
030812005,Lalawigan,Bgy,,,,U," 4,787 "
030812006,Palili,Bgy,,,,R," 2,284 "
030812008,San Juan (Pob.),Bgy,,,,R," 4,456 "
030812009,San Roque (Pob.),Bgy,,,,R, 936 
030812010,Santa Lucia,Bgy,,,,R," 2,555 "
030812011,Sapa,Bgy,,,,R," 4,638 "
030812012,Tabing Ilog,Bgy,,,,R," 2,289 "
030812013,Gugo,Bgy,,,,U," 3,639 "
030812014,West Calaguiman (Pob.),Bgy,,,,R," 1,534 "
030812015,West Daang Bago (Pob.),Bgy,,,,R, 793 
031400000,Bulacan,Prov,,,1st,," 3,708,890 "
031401000,Angat,Mun,,,1st,," 65,617 "
031401001,Banaban,Bgy,,,,R," 2,327 "
031401002,Baybay,Bgy,,,,R, 910 
031401003,Binagbag,Bgy,,,,U," 5,560 "
031401005,Donacion,Bgy,,,,U," 2,902 "
031401006,Encanto,Bgy,,,,U," 5,116 "
031401007,Laog,Bgy,,,,R," 1,787 "
031401008,Marungko,Bgy,,,,R," 5,552 "
031401009,Niugan,Bgy,,,,R," 5,256 "
031401010,Paltok,Bgy,,,,R," 1,738 "
031401013,Pulong Yantok,Bgy,,,,R," 5,940 "
031401014,San Roque (Pob.),Bgy,,,,U," 4,747 "
031401015,Santa Cruz (Pob.),Bgy,,,,U," 5,875 "
031401016,Santa Lucia,Bgy,,,,R," 2,911 "
031401017,Santo Cristo (Pob.),Bgy,,,,R," 5,132 "
031401018,Sulucan,Bgy,,,,U," 5,910 "
031401019,Taboc,Bgy,,,,U," 3,954 "
031402000,Balagtas,Mun,Bigaa,,1st,," 77,018 "
031402002,Borol 2nd,Bgy,,,,U," 8,360 "
031402003,Borol 1st,Bgy,,,,U," 10,780 "
031402004,Dalig,Bgy,,,,R," 2,081 "
031402005,Longos,Bgy,,,,R," 2,711 "
031402007,Panginay,Bgy,,,,U," 13,992 "
031402008,Pulong Gubat,Bgy,,,,U," 7,759 "
031402009,San Juan,Bgy,,,,U," 9,415 "
031402010,Santol,Bgy,,,,U," 17,050 "
031402011,Wawa (Pob.),Bgy,,,,U," 4,870 "
031403000,Baliuag,Mun,,,1st,," 168,470 "
031403001,Bagong Nayon,Bgy,,,,U," 4,249 "
031403002,Barangca,Bgy,,,,R," 3,385 "
031403003,Calantipay,Bgy,,,,U," 3,522 "
031403004,Catulinan,Bgy,,,,R," 2,123 "
031403005,Concepcion,Bgy,,,,U," 10,159 "
031403006,Hinukay,Bgy,,,,R," 2,226 "
031403007,Makinabang,Bgy,,,,U," 12,637 "
031403008,Matangtubig,Bgy,,,,R," 3,332 "
031403010,Pagala,Bgy,,,,U," 7,235 "
031403011,Paitan,Bgy,,,,R," 1,863 "
031403012,Piel,Bgy,,,,R," 2,648 "
031403013,Pinagbarilan,Bgy,,,,U," 6,580 "
031403014,Poblacion,Bgy,,,,U," 10,573 "
031403016,Sabang,Bgy,,,,U," 12,547 "
031403017,San Jose,Bgy,,,,U," 6,739 "
031403018,San Roque,Bgy,,,,R," 3,967 "
031403019,Santa Barbara,Bgy,,,,U," 12,638 "
031403020,Santo Cristo,Bgy,,,,U," 9,600 "
031403021,Santo Niño,Bgy,,,,U," 4,324 "
031403022,Subic,Bgy,,,,U," 6,437 "
031403023,Sulivan,Bgy,,,,U," 5,894 "
031403024,Tangos,Bgy,,,,U," 7,767 "
031403025,Tarcan,Bgy,,,,U," 8,809 "
031403026,Tiaong,Bgy,,,,U," 5,861 "
031403027,Tibag,Bgy,,,,U," 2,979 "
031403028,Tilapayong,Bgy,,,,R," 3,023 "
031403030,Virgen delas Flores,Bgy,,,,U," 7,353 "
031404000,Bocaue,Mun,,,1st,," 141,412 "
031404001,Antipona,Bgy,,,,R," 1,736 "
031404002,Bagumbayan,Bgy,,,,R," 3,863 "
031404003,Bambang,Bgy,,,,U," 8,841 "
031404004,Batia,Bgy,,,,U," 40,700 "
031404005,Biñang 1st,Bgy,,,,R," 3,406 "
031404006,Biñang 2nd,Bgy,,,,U," 2,113 "
031404007,Bolacan,Bgy,,,,U," 1,566 "
031404008,Bundukan,Bgy,,,,U," 11,129 "
031404009,Bunlo,Bgy,,,,U," 4,018 "
031404010,Caingin,Bgy,,,,U," 4,813 "
031404011,Duhat,Bgy,,,,U," 8,905 "
031404012,Igulot,Bgy,,,,R," 1,871 "
031404013,Lolomboy,Bgy,,,,U," 14,437 "
031404014,Poblacion,Bgy,,,,R, 709 
031404015,Sulucan,Bgy,,,,U," 2,793 "
031404016,Taal,Bgy,,,,U," 9,082 "
031404017,Tambobong,Bgy,,,,U," 7,323 "
031404018,Turo,Bgy,,,,U," 11,864 "
031404019,Wakas,Bgy,,,,U," 2,243 "
031405000,Bulacan,Mun,,,1st,," 81,232 "
031405001,Bagumbayan,Bgy,,,,U," 4,297 "
031405002,Balubad,Bgy,,,,U," 3,738 "
031405003,Bambang,Bgy,,,,U," 14,257 "
031405004,Matungao,Bgy,,,,U," 12,950 "
031405005,Maysantol,Bgy,,,,R," 2,955 "
031405006,Perez,Bgy,,,,R," 2,047 "
031405007,Pitpitan,Bgy,,,,U," 5,077 "
031405009,San Francisco,Bgy,,,,U," 7,486 "
031405010,San Jose (Pob.),Bgy,,,,U," 3,570 "
031405012,San Nicolas,Bgy,,,,U," 6,279 "
031405013,Santa Ana,Bgy,,,,U," 7,998 "
031405014,Santa Ines,Bgy,,,,R," 2,399 "
031405015,Taliptip,Bgy,,,,U," 5,005 "
031405016,Tibig,Bgy,,,,R," 3,174 "
031406000,Bustos,Mun,,,2nd,," 77,199 "
031406001,Bonga Mayor,Bgy,,,,R," 6,494 "
031406002,Bonga Menor,Bgy,,,,U," 5,301 "
031406003,Buisan,Bgy,,,,R," 1,876 "
031406004,Camachilihan,Bgy,,,,U," 2,542 "
031406005,Cambaog,Bgy,,,,U," 6,600 "
031406006,Catacte,Bgy,,,,U," 8,401 "
031406007,Liciada,Bgy,,,,U," 6,138 "
031406008,Malamig,Bgy,,,,U," 7,658 "
031406009,Malawak,Bgy,,,,U," 2,950 "
031406010,Poblacion,Bgy,,,,U," 8,262 "
031406011,San Pedro,Bgy,,,,U," 8,113 "
031406012,Talampas,Bgy,,,,R," 3,637 "
031406013,Tanawan,Bgy,,,,U," 2,731 "
031406014,Tibagan,Bgy,,,,U," 6,496 "
031407000,Calumpit,Mun,,,1st,," 118,471 "
031407001,Balite,Bgy,,,,R," 5,016 "
031407002,Balungao,Bgy,,,,U," 5,720 "
031407004,Buguion,Bgy,,,,R," 3,841 "
031407005,Bulusan,Bgy,,,,R," 2,603 "
031407006,Calizon,Bgy,,,,R," 2,221 "
031407007,Calumpang,Bgy,,,,U," 3,517 "
031407008,Caniogan,Bgy,,,,U," 4,510 "
031407009,Corazon,Bgy,,,,R," 2,175 "
031407010,Frances,Bgy,,,,U," 6,129 "
031407011,Gatbuca,Bgy,,,,U," 6,384 "
031407012,Gugo,Bgy,,,,R," 1,960 "
031407013,Iba Este,Bgy,,,,U," 4,161 "
031407014,Iba O'Este,Bgy,,,,U," 14,085 "
031407015,Longos,Bgy,,,,R," 4,265 "
031407016,Meysulao,Bgy,,,,R," 4,280 "
031407017,Meyto,Bgy,,,,R," 2,925 "
031407018,Palimbang,Bgy,,,,R," 1,684 "
031407019,Panducot,Bgy,,,,R," 1,752 "
031407020,Pio Cruzcosa,Bgy,,,,U," 4,663 "
031407021,Poblacion,Bgy,,,,U," 1,785 "
031407022,Pungo,Bgy,,,,U," 9,528 "
031407023,San Jose,Bgy,,,,U," 5,661 "
031407024,San Marcos,Bgy,,,,U," 2,671 "
031407025,San Miguel,Bgy,,,,R," 6,005 "
031407026,Santa Lucia,Bgy,,,,R," 2,460 "
031407027,Santo Niño,Bgy,,,,R," 2,544 "
031407028,Sapang Bayan,Bgy,,,,R," 3,140 "
031407029,Sergio Bayan,Bgy,,,,U," 1,727 "
031407030,Sucol,Bgy,,,,R," 1,059 "
031408000,Guiguinto,Mun,,,1st,," 113,415 "
031408001,Cutcut,Bgy,,,,R," 3,518 "
031408002,Daungan,Bgy,,,,R," 2,140 "
031408003,Ilang-Ilang,Bgy,,,,U," 5,746 "
031408004,Malis,Bgy,,,,U," 16,851 "
031408005,Panginay,Bgy,,,,R," 1,693 "
031408006,Poblacion,Bgy,,,,U," 3,468 "
031408007,Pritil,Bgy,,,,U," 5,270 "
031408008,Pulong Gubat,Bgy,,,,U," 3,915 "
031408009,Santa Cruz,Bgy,,,,U," 11,739 "
031408010,Santa Rita,Bgy,,,,U," 16,386 "
031408011,Tabang,Bgy,,,,U," 11,465 "
